Model,Accuracy,Precision,Recall,F1_Score
Logistic Regression,0.7777085927770859,0.7936144866771425,0.7777085927770859,0.7831774645309709
Complement Naive Bayes,0.7696139476961394,0.7875265949010466,0.7696139476961394,0.7756778322791905
Linear SVM,0.7599626400996264,0.7744034387069849,0.7599626400996264,0.7653005744707436
