Threshold,Accuracy,Precision,Recall,F1_Score
0.5200000000000002,0.8216064757160647,0.8154104154363453,0.8216064757160647,0.8112818813369447
0.5400000000000003,0.8212951432129514,0.8145429455702675,0.8212951432129514,0.8130094836372309
0.5600000000000003,0.8200498132004981,0.8133098280836322,0.8200498132004981,0.8134018552905832
0.5000000000000002,0.8178704856787049,0.8121480972149192,0.8178704856787049,0.8052217175142137
0.5800000000000003,0.8169364881693649,0.8112234460768711,0.8169364881693649,0.8126537852786279
0.6200000000000003,0.8166251556662516,0.8152859415805035,0.8166251556662516,0.8159089020038863
0.6000000000000003,0.814134495641345,0.8098846184793126,0.814134495641345,0.8114182217625729
0.48000000000000015,0.8125778331257784,0.8074634504399136,0.8125778331257784,0.7971632875611198
0.46000000000000013,0.8119551681195517,0.8095979148942939,0.8119551681195517,0.7935614048286241
0.6400000000000003,0.8085305105853051,0.8110213487406228,0.8085305105853051,0.80965999158147
0.4400000000000001,0.8082191780821918,0.8079725505777483,0.8082191780821918,0.7867919914969014
0.4200000000000001,0.8035491905354919,0.8055342990153247,0.8035491905354919,0.7787452306384546
0.4000000000000001,0.8029265255292652,0.8075636758501743,0.8029265255292652,0.7762437768188968
0.6600000000000004,0.8019925280199253,0.8086938804211716,0.8019925280199253,0.80467793715457
0.38000000000000006,0.7976338729763387,0.8056774644540429,0.7976338729763387,0.7667615930125276
0.6800000000000004,0.7942092154420921,0.8075710672134261,0.7942092154420921,0.7988330277260018
0.36000000000000004,0.790161892901619,0.8015470896733736,0.790161892901619,0.7539582358835035
0.7000000000000004,0.788293897882939,0.8099563630849773,0.788293897882939,0.7947506014787813
0.34,0.7879825653798257,0.8051686753419036,0.7879825653798257,0.7480481052616729
0.32,0.7854919053549191,0.8067823042253768,0.7854919053549191,0.742551115464412
0.3,0.7817559153175592,0.8079375528789938,0.7817559153175592,0.7348676275761253
