Model,Accuracy,Precision,Recall,F1_Score
Soft_Voting_Ensemble,0.8216064757160647,0.8158568668478199,0.8216064757160647,0.8103718586510618
Logistic_C_1.5,0.8166251556662516,0.8101252560568873,0.8166251556662516,0.8048646417420877
Logistic_C_1.0,0.8169364881693649,0.8114414550436139,0.8169364881693649,0.8036118813541359
Logistic_C_2.0,0.814134495641345,0.8067916988458833,0.814134495641345,0.8033774575185968
Logistic_C_3.0,0.8110211706102117,0.8030476127153106,0.8110211706102117,0.8012188319823325
RandomForest_300_Log2,0.8013698630136986,0.794380633230044,0.8013698630136986,0.7962094322282531
Logistic_C_0.5,0.8091531755915318,0.8060155377062049,0.8091531755915318,0.7904178558137166
RandomForest_300_Sqrt,0.791095890410959,0.7868824789638207,0.791095890410959,0.7886071457388538
