Threshold,Accuracy,Precision,Recall,F1_Score
0.56,0.8200498132004981,0.8549649773382777,0.9017818339852238,0.8157631562209907
0.58,0.816002490660025,0.8610641891891891,0.8861364624076489,0.8138104666641769
0.54,0.8197384806973848,0.8463395012067578,0.9143850499782703,0.8130358821703468
0.52,0.8203611457036114,0.8396375098502759,0.9261190786614515,0.8113298245338265
0.6,0.8107098381070984,0.8672451193058568,0.8687527162103433,0.810583790967323
0.5,0.8216064757160647,0.8343653250773994,0.9369839200347675,0.8103718586510618
0.62,0.8072851805728518,0.8771300448430494,0.8500651890482399,0.8093893154764131
0.64,0.8001245330012453,0.8856345885634589,0.8279009126466753,0.8043591132684917
0.48,0.8147571606475716,0.8231060606060606,0.9443720121686223,0.7999394839202503
0.66,0.7926525529265255,0.8939759036144578,0.8061712299000434,0.7987388457936175
0.46,0.8125778331257784,0.8154474563683625,0.954367666232073,0.7942449763358141
0.44,0.8079078455790785,0.8079736649597659,0.9600173837461973,0.786226687705569
0.68,0.776774595267746,0.9008097165991903,0.7735767057800956,0.7851886492329115
0.42,0.8054171855541719,0.8023088023088023,0.9665362885701869,0.7805313888114831
0.7,0.7652552926525529,0.9090428344791116,0.7470664928292047,0.7753359830668988
0.4,0.8001245330012453,0.7936283185840708,0.9743589743589743,0.7699959006730707
0.38,0.7960772104607721,0.7875611460517121,0.979574098218166,0.7617950106041134
0.36,0.7904732254047323,0.7808833678398895,0.9834854411125598,0.7514470654965685
0.34,0.7851805728518058,0.7750085353362922,0.9865275966970882,0.7415844021796727
0.32,0.7811332503113325,0.7699324324324325,0.990438939591482,0.7328319141429244
0.3,0.775840597758406,0.7648241206030151,0.9921773142112125,0.7229775263281596
