C,Accuracy,Precision,Recall,F1_Score
1.0,0.8169364881693649,0.8114414550436139,0.8169364881693649,0.8036118813541359
1.5,0.8166251556662516,0.8101252560568873,0.8166251556662516,0.8048646417420877
0.75,0.814134495641345,0.8091400589985782,0.814134495641345,0.7991478453809371
2.0,0.814134495641345,0.8067916988458833,0.814134495641345,0.8033774575185968
3.0,0.8110211706102117,0.8030476127153106,0.8110211706102117,0.8012188319823325
5.0,0.8091531755915318,0.8009984449657028,0.8091531755915318,0.8004512684818672
0.5,0.8091531755915318,0.8060155377062049,0.8091531755915318,0.7904178558137166
10.0,0.8082191780821918,0.8001612102013904,0.8082191780821918,0.8003892226523663
0.25,0.7976338729763387,0.8006173135702198,0.7976338729763387,0.7696300173666438
0.1,0.7686799501867995,0.7915094317450382,0.7686799501867995,0.7142717240114597
0.05,0.7378580323785803,0.7797023850216859,0.7378580323785803,0.6495437280155989
